# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.16.0
#@/tick	859
#@/user_id	c8cff22b-621e-43b6-ade8-64bc31e833a6
a 	啊	c=5 d=0.632651 t=859
a a 	啊啊	c=1 d=0.158817 t=859
a fan da 	阿凡達	c=0 d=0.0209088 t=859
a fan da shi fou 	阿凡達是否	c=1 d=0.210136 t=859
ai 	愛	c=0 d=0.1 t=618
an jian 	按鍵	c=1 d=0.985112 t=859
an shi 	暗示	c=1 d=0.321293 t=859
an shi dui fang 	暗示對方	c=1 d=0.97531 t=859
an xia 	按下	c=0 d=0.0229925 t=859
an xia wu fan ying 	按下無反應	c=1 d=0.231078 t=859
an yi xia 	按一下	c=1 d=0.214381 t=859
api 	API	c=1 d=1 t=835
ba 	吧	c=1 d=1 t=431
ba 	把	c=3 d=1.71023 t=859
ba ying bian ma 	把硬編碼	c=1 d=1 t=781
bao cun 	保存	c=1 d=1 t=724
bao liu 	保留	c=2 d=1.92774 t=580
bao zheng 	保證	c=1 d=1 t=511
bei 	被	c=0 d=0.1 t=474
bei jing 	背景	c=1 d=1 t=641
beng kui 	崩潰	c=0 d=0.0442639 t=859
bi xu 	必須	c=1 d=1 t=817
bian cheng 	編程	c=1 d=1 t=663
bian xie 	編寫	c=1 d=1 t=539
bian xie de 	便攜的	c=1 d=1 t=541
biao yang xin 	表揚信	c=1 d=0.771052 t=859
bie ren 	別人	c=3 d=1.25583 t=859
bing 	並	c=0 d=0.1 t=559
bing yu lan 	並預覽	c=1 d=1 t=560
bu bian 	不變	c=1 d=1 t=848
bu cheng gong 	不成功	c=1 d=1 t=694
bu chong 	補充	c=1 d=1 t=695
bu fen 	部分	c=1 d=1 t=808
bu hao kan 	不好看	c=1 d=1 t=632
bu kao lv 	不考慮	c=1 d=0.657047 t=859
bu neng 	不能	c=2 d=0.543972 t=859
bu qi zuo yong 	不起作用	c=1 d=1 t=472
bu rang 	不讓	c=0 d=0.0465334 t=859
bu shi 	不是	c=1 d=0.548812 t=859
bu shi bie 	不識別	c=1 d=0.23457 t=859
bu shi shuo 	不是說	c=1 d=0.56836 t=859
bu xiang 	不想	c=1 d=1 t=552
bu yao 	不要	c=1 d=1 t=688
cai fa xian 	才發現	c=1 d=0.449329 t=859
cha kan 	查看	c=1 d=1 t=591
cha yi 	差異	c=1 d=0.960789 t=859
chang shi 	嘗試	c=1 d=1 t=618
chang yong 	常用	c=1 d=1 t=551
cheng gong 	成功	c=1 d=1 t=738
cheng xu 	乘虛	c=1 d=1 t=483
cheng xu 	程序	c=1 d=1 t=484
chong pei 	重配	c=1 d=1 t=737
chu chai 	出差	c=1 d=0.554327 t=859
chu lai 	出來	c=1 d=0.183599 t=859
chuang jian 	創建	c=1 d=0.164474 t=859
ci ku 	詞庫	c=3 d=0.638042 t=859
cong 	從	c=1 d=0.408608 t=859
cou huo 	湊或	c=2 d=1.204 t=859
cuo wu 	錯誤	c=2 d=1.60351 t=693
da 	打	c=0 d=0.0181772 t=859
da bu fen 	大部分	c=1 d=1 t=537
da dao 	達到	c=1 d=0.615697 t=859
da jia 	大家	c=2 d=1.45363 t=859
da jia hao 	大家好	c=2 d=0.321023 t=859
da jiao 	大角	c=1 d=0.172907 t=859
da kai 	打開	c=4 d=2.17 t=759
da tou bing 	大頭兵	c=1 d=0.763379 t=859
da xiao 	大小	c=1 d=1 t=640
da xie 	大寫	c=1 d=0.217621 t=859
da yan 	打眼	c=1 d=0.740818 t=859
da yu 	大於	c=1 d=1 t=790
dai 	待	c=1 d=1 t=654
dan 	但	c=0 d=0.1 t=456
dan bo 	淡泊	c=1 d=0.301194 t=859
dan yi jing 	但已經	c=1 d=1 t=457
dang shi 	當時	c=1 d=0.683861 t=859
dao 	到	c=5 d=2.21525 t=859
dao ru 	導入	c=7 d=1.18507 t=859
dao zhi 	導致	c=1 d=1 t=733
de 	的	c=64 d=17.3489 t=859
deng 	等	c=1 d=1 t=547
deng deng 	等等	c=1 d=0.802519 t=859
deng fang mian 	等方面	c=1 d=0.384812 t=859
di ming 	地名	c=1 d=0.280832 t=859
di yi ge 	第一個	c=1 d=0.250324 t=859
dian chi 	電池	c=1 d=1 t=617
dian lu 	電路	c=1 d=1 t=465
ding xia lai 	定下來	c=2 d=1.15396 t=859
ding yi 	定義	c=1 d=1 t=794
dong xi 	東西	c=5 d=1.37465 t=859
dong zuo 	動作	c=1 d=0.472367 t=859
dou shi 	都是	c=3 d=0.748264 t=859
dou zai 	都在	c=1 d=1 t=684
du qu 	讀取	c=1 d=1 t=481
dui 	對	c=1 d=1 t=575
dui bi 	對比	c=1 d=1 t=763
dui fang 	對方	c=0 d=0.0970446 t=859
er yi 	而已	c=1 d=1 t=418
fa sheng de 	發生的	c=1 d=0.226502 t=859
fan bian yi 	反編譯	c=1 d=1 t=800
fan dao shi 	反倒是	c=1 d=0.225373 t=859
fan si 	反思	c=1 d=0.390628 t=859
fan ti 	繁體	c=1 d=1 t=681
fan ye 	翻頁	c=2 d=1.97045 t=502
fang an 	方案	c=2 d=0.190808 t=859
fen kai 	分開	c=0 d=0.029523 t=859
fen kai xian shi 	分開顯示	c=1 d=0.29671 t=859
fen shi an 	分屍案	c=1 d=0.245016 t=859
fen xian 	分線	c=1 d=1 t=747
fen xiang 	分享	c=1 d=1 t=748
fu wu qi 	服務器	c=3 d=2.9361 t=784
fu za 	複雜	c=1 d=0.543351 t=859
fu zhi 	複製	c=1 d=1 t=405
fu zhu 	輔助	c=1 d=1 t=528
gai 	該	c=0 d=0.1 t=560
gai dao 	改到	c=1 d=0.458406 t=859
gai mu lu 	該目錄	c=1 d=1 t=561
gai wei 	改爲	c=1 d=1 t=849
gan jue 	感覺	c=1 d=1 t=822
gan xie 	感謝	c=1 d=1 t=746
ge ren 	個人	c=1 d=0.329559 t=859
ge ren jie shao 	個人介紹	c=1 d=1 t=802
ge zhong 	各種	c=1 d=0.839457 t=859
gei bie ren 	給別人	c=1 d=1 t=410
gei wo 	給我	c=1 d=0.270333 t=827
gei wo yi ge 	給我一個	c=1 d=1 t=828
gen ju 	根據	c=1 d=1 t=439
gen shou 	跟手	c=1 d=1 t=607
geng duo 	更多	c=1 d=1 t=412
geng duo de 	更多的	c=1 d=0.336216 t=859
geng hao 	更好	c=2 d=1.22878 t=827
github 	GitHub	c=1 d=1 t=702
gong 	工	c=1 d=1 t=529
gong neng 	功能	c=7 d=2.25171 t=859
gong zuo 	供作	c=1 d=1 t=721
gong zuo 	工作	c=2 d=1.98511 t=725
gong zuo liu 	工作流	c=1 d=1 t=503
gong zuo zhong 	工作中	c=1 d=0.357007 t=859
guan bi 	關閉	c=5 d=0.987997 t=859
guan yu 	關於	c=2 d=0.667512 t=859
gui yang 	貴陽	c=0 d=0.0506617 t=859
guo 	過	c=0 d=0.0472367 t=859
guo ji 	國際	c=1 d=0.402524 t=859
guo nei 	國內	c=0 d=0.0404542 t=859
guo nei xun jian 	國內巡檢	c=1 d=0.40657 t=859
hai bao kuo 	還包括	c=1 d=1 t=548
hai shi 	還是	c=1 d=0.242926 t=859
hai you 	還有	c=3 d=1.28321 t=859
hao 	好	c=1 d=0.941765 t=859
hao kan 	好看	c=1 d=1 t=517
hao li hai 	好厲害	c=1 d=1 t=397
hao li hao 	好利好	c=1 d=1 t=396
hao xiang 	好像	c=2 d=1.81058 t=718
he 	和	c=4 d=1.20007 t=859
hen chang 	很長	c=1 d=1 t=454
hou 	後	c=3 d=1.20826 t=859
hou mian 	後面	c=1 d=0.481909 t=859
hu tong 	互通	c=1 d=1 t=452
huan jing 	環境	c=2 d=1.75201 t=789
hui 	會	c=0 d=0.0231078 t=859
hui che 	回車	c=1 d=1 t=850
hui fu 	恢復	c=3 d=2.87435 t=730
hui lai hou 	回來後	c=1 d=0.511709 t=859
hui qie huan 	會切換	c=1 d=0.232236 t=859
hun he 	混合	c=1 d=0.177284 t=859
hun zhe 	混着	c=2 d=1.19202 t=859
huo qu 	獲取	c=1 d=1 t=555
ji 	機	c=2 d=1.99501 t=451
ji chu 	基礎	c=2 d=1.78663 t=707
ji cun qi 	寄存器	c=1 d=1 t=466
ji hui 	機會	c=2 d=1.18113 t=859
ji qi 	機器	c=0 d=0.1 t=600
ji xu 	繼續	c=1 d=1.099 t=463
ji xu jia you 	繼續加油	c=1 d=1 t=462
jia 	加	c=1 d=0.767206 t=859
jia su 	加速	c=1 d=1 t=634
jia you 	加油	c=0 d=0.1 t=461
jia zai 	加載	c=1 d=1 t=750
jia zhi 	價值	c=4 d=0.66034 t=859
jian hua zi 	簡化字	c=1 d=1 t=674
jian pan 	鍵盤	c=1 d=1 t=792
jian qie 	剪切	c=1 d=1 t=761
jian rong 	兼容	c=2 d=1.99501 t=515
jiang jun 	將軍	c=1 d=0.271173 t=859
jiang xia lai 	降下來	c=1 d=0.489192 t=859
jiao ben 	腳本	c=1 d=1 t=651
jie dian 	節點	c=2 d=0.993183 t=859
jie guo 	結果	c=1 d=0.856415 t=859
jie he 	結合	c=0 d=0.1 t=466
jie jue ban fa 	解決辦法	c=1 d=1 t=753
jie mian 	潔面	c=1 d=1 t=518
jie mian 	界面	c=1 d=1 t=519
jie shao 	介紹	c=1 d=0.326502 t=801
jin ai 	緊挨	c=1 d=0.261846 t=859
jin jin ji jiao 	斤斤計較	c=1 d=0.20089 t=859
jin ka 	金卡	c=13 d=3.11878 t=859
jin ka fen shi an 	金卡分屍案	c=1 d=0.174645 t=859
jin liang 	盡量	c=1 d=1 t=755
jin nian 	今年	c=1 d=0.733447 t=859
jin ru 	進入	c=1 d=1 t=670
jin xing 	進行	c=1 d=0.423162 t=859
jiu 	就	c=0 d=0.1 t=600
jiu bei 	就被	c=1 d=0.484325 t=859
jiu bian cheng 	就變成	c=1 d=0.215456 t=859
jiu ji qi 	就機器	c=1 d=1 t=601
jiu shi 	就是	c=5 d=2.68587 t=859
jiu xing 	就行	c=1 d=0.634448 t=859
jiu yao 	就要	c=1 d=0.557106 t=859
jk 	jk	c=13 d=6.79605 t=839
ju 	具	c=1 d=1 t=530
ju jue 	拒絕	c=1 d=0.524663 t=859
ju ke kao 	據可靠	c=1 d=0.208045 t=859
ju li 	距離	c=1 d=1 t=446
jue de 	覺得	c=1 d=1 t=394
jue se 	角色	c=1 d=0.369723 t=859
ka 	卡	c=0 d=0.088692 t=859
kai shi de 	開始的	c=1 d=0.410656 t=859
kan kan 	看看	c=1 d=0.212248 t=859
kao bei 	拷貝	c=1 d=1 t=479
ke 	可	c=1 d=1 t=661
ke kao 	可靠	c=0 d=0.1 t=474
ke kao bei 	可靠被	c=1 d=1 t=475
ke yi 	可以	c=6 d=2.35826 t=805
ke yi yong 	可以用	c=1 d=1 t=727
ke yong 	可用	c=1 d=0.275271 t=859
kong ge 	空個	c=2 d=0.580233 t=859
kong ge 	空格	c=3 d=1.91629 t=859
kong zhi 	空置	c=1 d=0.264477 t=859
kua ping tai 	跨平臺	c=1 d=1 t=459
kuai su 	快速	c=1 d=1 t=803
lai kan 	來看	c=1 d=1 t=400
le 	了	c=12 d=3.67905 t=859
le yi xia 	了一下	c=1 d=1 t=390
li hao 	利好	c=0 d=0.1 t=395
li jie 	理解	c=2 d=0.937067 t=859
li mian 	裏面	c=4 d=3.10336 t=686
li min 	利民	c=0 d=0.1 t=667
li min a 	利民啊	c=1 d=1 t=668
lian tian 	連天	c=1 d=1 t=393
lian xi 	練習	c=1 d=0.32628 t=859
liang deng 	亮燈	c=1 d=0.26982 t=859
liang ge 	兩個	c=1 d=1 t=427
liang hui shi 	兩回事	c=0 d=0.0923116 t=859
lie shi 	劣勢	c=1 d=0.375311 t=859
lin shi 	臨時	c=2 d=0.864641 t=859
lin shi de 	臨時的	c=1 d=0.479505 t=859
ling ling luo luo 	零零落落	c=1 d=1 t=859
ling wai 	另外	c=1 d=1 t=745
linux 	Linux	c=2 d=1.34994 t=837
liu cheng 	流程	c=1 d=1 t=664
mac 	Mac	c=1 d=1 t=749
man 	慢	c=2 d=1.88692 t=859
man yi 	滿意	c=1 d=0.631284 t=859
me 	麼	c=2 d=1.956 t=819
mei neng 	沒能	c=1 d=1 t=409
mei sha 	沒啥	c=1 d=1 t=635
mei you 	沒有	c=3 d=1.49613 t=736
mian dui 	面對	c=1 d=0.358796 t=859
ming yue 	明月	c=3 d=2.35819 t=679
ming zhi 	明志	c=1 d=0.304221 t=859
mo ni qi 	模擬器	c=1 d=1 t=594
mo ren 	默認	c=3 d=0.778085 t=859
mu lu 	目錄	c=1 d=1.09501 t=560
mu qian 	目前	c=1 d=1 t=435
na 	那	c=0 d=0.1 t=487
na er 	那兒	c=1 d=0.565525 t=859
na liang ge 	哪兩個	c=1 d=0.980199 t=859
neng 	能	c=0 d=0.1 t=598
neng xian zhu 	能顯著	c=1 d=1 t=599
nian ji 	年紀	c=1 d=0.380983 t=859
nian zhong 	年終	c=1 d=0.70822 t=859
ning jing 	寧靜	c=1 d=0.305746 t=859
pei he 	配合	c=1 d=0.537944 t=859
pei zhi 	配置	c=4 d=0.815734 t=859
pin yin 	拼音	c=4 d=3.16603 t=697
ping shen 	評審	c=1 d=0.66365 t=859
ping ti 	平替	c=1 d=1 t=662
posix 	POSIX	c=1 d=1 t=513
qi dong 	啓動	c=2 d=1.56553 t=596
qi shi 	其實	c=1 d=0.33454 t=859
qi ta 	其它	c=1 d=1 t=652
qi zhong 	其中	c=2 d=1.57311 t=859
qi zong 	瘈瘲	c=1 d=0.946485 t=859
qian 	前	c=1 d=1 t=392
qian che 	牽扯	c=1 d=0.618783 t=859
qian hou 	前後	c=1 d=1 t=766
qian liang tian 	前兩天	c=1 d=0.51898 t=859
qian ti 	前提	c=1 d=1 t=572
qie huan 	切換	c=6 d=3.89468 t=859
qing dan 	清單	c=1 d=1 t=834
qu 	去	c=1 d=0.613365 t=859
qu diao 	去掉	c=1 d=1 t=782
qu gui yang 	去貴陽	c=1 d=0.509156 t=859
qu nian 	去年	c=1 d=0.396531 t=859
qu xiao 	取消	c=1 d=0.155673 t=859
quan xian 	權限	c=1 d=1 t=765
que ding 	確定	c=1 d=0.239309 t=859
rang 	讓	c=1 d=0.609571 t=859
ren 	人	c=2 d=1.07934 t=859
ren wei 	認爲	c=1 d=0.869358 t=859
ren wu 	人物	c=1 d=0.279431 t=859
ren yu ren 	人與人	c=1 d=0.529935 t=859
ri qi 	日期	c=1 d=1 t=616
ri qi 	日起	c=1 d=1 t=615
ri zhi 	日誌	c=2 d=1.99005 t=589
rong ru 	融入	c=1 d=1 t=543
rong yi 	容易	c=0 d=0.088692 t=859
rong yi ka 	容易卡	c=1 d=0.891366 t=859
ru 	如	c=1 d=1 t=546
ru he 	如何	c=2 d=0.173633 t=859
ruan ying 	軟硬	c=0 d=0.1 t=466
ruan ying jie he 	軟硬結合	c=1 d=1 t=467
sa 	撒	c=0 d=0.1 t=384
sa fen shi an 	撒分屍案	c=1 d=1 t=385
san ci 	三次	c=1 d=0.427415 t=859
shan chu 	刪除	c=1 d=1 t=554
shang 	上	c=3 d=1.69378 t=824
shang ping 	上屏	c=3 d=2.12804 t=851
shao wei 	稍微	c=1 d=1 t=438
she zhi 	設置	c=1 d=1 t=806
shen fen 	身份	c=1 d=0.382893 t=859
shen me 	什麼	c=1 d=1 t=402
shen me yi si 	什麼意思	c=1 d=0.213312 t=859
sheng huo 	生活	c=1 d=0.355226 t=859
shi 	是	c=4 d=1.33618 t=859
shi 	時	c=2 d=0.89458 t=859
shi bai 	失敗	c=1 d=1 t=751
shi bie 	識別	c=2 d=0.741413 t=859
shi bu rang 	是不讓	c=1 d=0.467666 t=859
shi fou 	是否	c=0 d=0.0209088 t=859
shi hou 	時候	c=3 d=0.931004 t=859
shi ke yi 	是可以	c=1 d=0.522046 t=859
shi liang hui shi 	是兩回事	c=1 d=0.927743 t=859
shi pei 	適配	c=2 d=1.97531 t=785
shi qing 	事情	c=1 d=0.616015 t=859
shi qing shi zhe yang 	事情是這樣	c=1 d=0.392586 t=859
shi tong guo 	是通過	c=1 d=0.433874 t=859
shi xian 	實現	c=2 d=1.51171 t=581
shi ying wen 	是英文	c=1 d=0.241714 t=859
shi yong 	使用	c=6 d=3.13937 t=818
shi zai 	是在	c=1 d=0.353455 t=859
shi zhe yang 	是這樣	c=0 d=0.0390628 t=859
shu ru 	輸入	c=7 d=1.06201 t=859
shu ru fa 	輸入法	c=2 d=0.317639 t=859
shu xu guan 	鼠鬚管	c=4 d=0.960771 t=859
shuang pin 	雙拼	c=1 d=0.323033 t=859
shuo 	說	c=2 d=1.03832 t=859
si kao 	思考	c=1 d=0.332871 t=859
sou gou 	搜狗	c=1 d=1 t=631
su du man 	速度慢	c=1 d=0.440432 t=859
suo you 	所有	c=3 d=0.828579 t=859
ta 	他	c=0 d=0.0718924 t=859
ta men 	他們	c=1 d=0.451581 t=859
ta qian liang tian 	他前兩天	c=1 d=0.722527 t=859
tai cha le 	太差了	c=1 d=0.697676 t=859
ti gong 	提供	c=2 d=1.54881 t=531
